ipr	description
IPR028614	GDP-L-fucose synthase/GDP-L-colitose synthase
IPR038213	IFI6/IFI27-like domain superfamily
IPR027524	Eukaryotic translation initiation factor 3 subunit H
IPR045810	eIF3h, C-terminal
IPR001401	Dynamin, GTPase domain
IPR045873	ADP-ribosylation factor-like protein 2
IPR044672	Molybdopterin synthase sulfur carrier subunit
IPR000618	Insect cuticle protein
IPR016040	NAD(P)-binding domain
IPR029021	Protein-tyrosine phosphatase-like
IPR004302	Cellulose/chitin-binding protein, N-terminal
IPR039385	NGN domain, eukaryotic
IPR041977	Spt5, KOW domain repeat 4
IPR042065	E3 ubiquitin-protein ligase ELL-like
IPR007807	Helicase domain
IPR047541	E3 ubiquitin-protein ligase RNF31-like, modified RING finger, HC subclass
IPR005755	Ribosomal protein L13, eukaryotic/archaeal
IPR004038	Ribosomal protein L7Ae/L30e/S12e/Gadd45
IPR002306	Tryptophan-tRNA ligase
IPR013235	PPP domain
IPR041753	PP5, C-terminal metallophosphatase domain
IPR000586	Somatostatin receptor family
IPR033728	Threonine-tRNA ligase catalytic core domain
IPR019338	Ribosomal protein L35, mitochondrial
IPR022581	Spt5 transcription elongation factor, N-terminal
IPR005351	PAT complex subunit Asterix
IPR008580	PPPDE peptidase domain
IPR042266	PPPDE peptidase domain superfamily
IPR003929	Calcium-activated potassium channel BK, alpha subunit
IPR011021	Arrestin-like, N-terminal
IPR045885	N-acetylgalactosaminyltransferase
IPR002153	Transient receptor potential channel, canonical
IPR012479	SAP30-binding protein
IPR016491	Septin
IPR000730	Proliferating cell nuclear antigen, PCNA
IPR022648	Proliferating cell nuclear antigen, PCNA, N-terminal
IPR022649	Proliferating cell nuclear antigen, PCNA, C-terminal
IPR006076	FAD dependent oxidoreductase
IPR033467	Tesmin/TSO1-like CXC domain
IPR008983	Tumour necrosis factor-like domain superfamily
IPR037430	Sorting nexin-4, BAR domain
IPR002558	I/LWEQ domain
IPR032503	FAD dependent oxidoreductase, central domain
IPR007577	Glycosyltransferase, DXD sugar-binding motif
IPR004953	EB1, C-terminal
IPR006804	BCL7
IPR013022	Xylose isomerase-like, TIM barrel domain
IPR019155	CLEC16A/TT9, N-terminal
IPR035206	Proteasome subunit beta 2
IPR036133	EB1, C-terminal domain superfamily
IPR038041	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D 1, SWIB domain
IPR039272	CLEC16A/TT9
IPR041400	PARP16 N-terminal domain
IPR045128	Proteasome inhibitor PI31-like
IPR045184	WD40 repeat-containing protein SMU1
IPR047171	Bromodomain adjacent to zinc finger domain protein 1A
IPR013261	Mitochondrial import inner membrane translocase subunit Tim21
IPR046807	Tra1, HEAT repeat central region
IPR005062	SAC3/GANP/THP3, conserved domain
IPR000447	FAD-dependent glycerol-3-phosphate dehydrogenase
IPR002778	Signal recognition particle, SRP19 subunit
IPR003173	Transcriptional coactivator p15 (PC4), C-terminal
IPR004816	Hydroxymethylglutaryl-CoA reductase, metazoan
IPR005961	Phenylalanine-4-hydroxylase, tetrameric form
IPR006248	Aconitase, mitochondrial-like
IPR006408	P-type ATPase, subfamily IIB
IPR007273	SCAMP
IPR007531	Dysbindin
IPR008493	Hikeshi-like domain
IPR008855	Translocon-associated
IPR009044	ssDNA-binding transcriptional regulator
IPR009114	Angiomotin
IPR009604	LsmAD domain
IPR012541	DBP10, C-terminal
IPR013238	RNA polymerase III, subunit Rpc25
IPR015009	Vinculin-binding site-containing domain
IPR015116	Cdc42 binding domain-like
IPR015224	Talin, central
IPR015932	Aconitase, domain 2
IPR016488	NADH dehydrogenase [ubiquinone] (complex I), alpha subcomplex, subunit 6
IPR016562	Proteasome assembly chaperone 2, eukaryotic
IPR016616	Bardet-Biedl syndrome 2 protein
IPR019151	Proteasome assembly chaperone 2
IPR019716	Ribosomal protein L53, mitochondrial
IPR021137	Ribosomal protein L35
IPR024420	TRAPP III complex, Trs85
IPR024646	Angiomotin, C-terminal
IPR026180	KAT8 regulatory NSL complex subunit 1
IPR028909	Ribosomal protein L21-like
IPR029333	Ciliary BBSome complex subunit 2, C-terminal domain
IPR031318	OPI10 family
IPR031656	Alpha-glycerophosphate oxidase, C-terminal
IPR032043	E3 ubiquitin-protein ligase Msl2, zinc RING finger
IPR033517	DDX54/DBP10 family, DEAD-box helicase domain
IPR036164	L21-like superfamily
IPR036476	Talin, central domain superfamily
IPR036521	Signal recognition particle, subunit SRP19-like superfamily
IPR037085	Cdc42 binding domain-like superfamily
IPR037229	Ribosomal protein L35 superfamily
IPR037871	Phafin, PH domain
IPR037899	SNX25, PX domain
IPR038299	Alpha-glycerophosphate oxidase, C-terminal domain superfamily
IPR038389	Proteasome assembly chaperone 2 superfamily
IPR039468	WDR19, WD40 repeat
IPR039905	CD2 antigen cytoplasmic tail-binding protein 2/Lin1
IPR040025	Zinc finger protein 622/Rei1/Reh1
IPR041643	ZIC protein, zinc finger domain
IPR041912	Eukaryotic phenylalanine-4-hydroxylase, catalytic domain
IPR044765	DDX47/Rrp3, DEAD-box helicase domain
IPR045101	PTEN,  phosphatase domain
IPR045125	RNA polymerase II transcriptional coactivator Sub1/Tcp4-like
IPR045299	NDUFA6, LYR domain
IPR018961	DnaJ homologue, subfamily C, member 28, conserved domain
IPR026509	Transmembrane protein 183
IPR008139	Saposin B type domain
IPR021721	Zinc finger, CCCH-type, TRM13
IPR015415	Spastin/Vps4, C-terminal
IPR030664	FAD-dependent oxidoreductase SdhA/FrdA/AprA
IPR041019	Plexin, TIG domain 1
IPR036318	FAD-binding, type PCMH-like superfamily
IPR017364	Gem-associated protein 2
IPR033315	Fanconi-associated nuclease 1-like
IPR002589	Macro domain
IPR028336	Glucose-dependent insulinotropic receptor
IPR037858	ARAP, RhoGAP domain
IPR007652	Alpha 1,4-glycosyltransferase domain
IPR036065	BolA-like superfamily
IPR019193	Ubiquitin-conjugating enzyme E2-binding protein
IPR031963	Histone deacetylase complex subunit SAP130, C-terminal domain
IPR045306	Sorbitol dehydrogenase-like
IPR037962	Neuralized
IPR021869	Ribonuclease Zc3h12a-like, NYN domain
IPR018477	Bicaudal-D protein
IPR012942	SRR1-like domain
IPR040044	SRR1-like protein
IPR033391	Fructose-1-6-bisphosphatase class I, N-terminal
IPR005958	Tyrosine/nicotianamine aminotransferase
IPR004273	Dynein heavy chain region D6 P-loop domain
IPR001865	Ribosomal protein S2
IPR023591	Ribosomal protein S2, flavodoxin-like domain superfamily
IPR045208	Initiation factor 4G
IPR023231	GSKIP domain superfamily
IPR034629	Pentatricopeptide repeat-containing protein 2, mitochondrial
IPR004217	Tim10-like
IPR015248	Ubiquinol-cytochrome c reductase iron-sulphur subunit, N-terminal
IPR002509	NodB homology domain
IPR039895	Protein cordon-bleu-like
IPR012394	Aldehyde dehydrogenase NAD(P)-dependent
IPR026966	Neurofascin/L1/NrCAM, C-terminal domain
IPR003591	Leucine-rich repeat, typical subtype
IPR013212	Mad3/Bub1 homology region 1
IPR015661	Mitotic spindle checkpoint protein Bub1/Mad3
IPR036023	Class IX myosin, motor domain
IPR032727	Flagellar C1a complex subunit C1a-32
IPR030379	Septin-type guanine nucleotide-binding (G) domain
IPR017448	SRCR-like domain
IPR002222	Ribosomal protein S19/S15
IPR005713	Ribosomal protein S19A/S15e
IPR023575	Ribosomal protein S19/S15, superfamily
IPR019273	Lunapark domain
IPR019516	Glomulin/ALF4
IPR031314	Deoxynucleoside kinase domain
IPR027477	Succinate dehydrogenase/fumarate reductase flavoprotein, catalytic domain superfamily
IPR036539	Cytochrome c oxidase, subunit VIIa superfamily
IPR016542	Phosphatidylinositol N-acetylglucosaminyltransferase, GPI19/PIG-P subunit
IPR041981	ZZZ3, zinc finger, ZZ-type
IPR016833	Putative sodium bile acid cotransporter
IPR043359	C2H2-type zinc-finger protein GLI-like
IPR000479	Cation-independent mannose-6-phosphate receptor repeat
IPR041631	Alpha-dystroglycan N-terminal domain 2
IPR006535	HnRNP R/Q splicing factor
IPR018325	Rad4/PNGase transglutaminase-like fold
IPR016158	Cullin homology domain
IPR036317	Cullin homology domain superfamily
IPR022238	18S rRNA (guanine(1575)-N(7))-methyltransferase Bud23, C-terminal
IPR039769	18S rRNA (guanine(1575)-N(7))-methyltransferase Bud23-like
IPR015939	Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal
IPR037099	Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal domain superfamily
IPR009787	Protein jagunal
IPR004942	Roadblock/LAMTOR2 domain
IPR044422	SMYD5, SET domain
IPR000996	Clathrin light chain
IPR000352	Peptide chain release factor class I
IPR035427	Tim10-like domain superfamily
IPR043987	CCZ1/INTU/HSP4, first Longin domain
IPR040637	60S ribosomal protein L10P, insertion domain
IPR043164	50S ribosomal protein L10, insertion domain superfamily
IPR013099	Potassium channel domain
IPR013786	Acyl-CoA dehydrogenase/oxidase, N-terminal
IPR000073	Alpha/beta hydrolase fold-1
IPR020811	Enolase, N-terminal
IPR003108	GAR domain
IPR036534	GAR domain superfamily
IPR006165	Ku70
IPR026156	Folliculin-interacting protein family
IPR047131	RNA binding protein fox-1 homolog 1-like
IPR026171	Fanconi anemia group I protein
IPR029308	FANCI solenoid 1 domain
IPR029310	FANCI helical domain 1
IPR029312	FANCI helical domain 2
IPR029314	FANCI solenoid 4 domain
IPR029315	FANCI solenoid 2 domain
IPR008930	Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid
IPR003000	Sirtuin family
IPR030666	tRNA isopentenyltransferase, eukaryotes
IPR007873	Glycosyltransferase, ALG3
IPR025261	Atos-like, conserved domain
IPR033473	Atos-like, C-terminal
IPR006050	DNA photolyase, N-terminal
IPR036155	Cryptochrome/photolyase, N-terminal domain superfamily
IPR001320	Ionotropic glutamate receptor
IPR014472	Choline/ethanolamine phosphotransferase
IPR041975	Spt5, KOW domain repeat 2
IPR041976	Spt5, KOW domain repeat 3
IPR012591	PRO8NT domain
IPR012592	PROCN domain
IPR012984	PROCT domain
IPR019580	Pre-mRNA-processing-splicing factor 8, U6-snRNA-binding
IPR019581	Pre-mRNA-processing-splicing factor 8, U5-snRNA-binding
IPR019582	RNA recognition motif, spliceosomal PrP8
IPR021983	PRP8 domain IV core
IPR027652	Pre-mRNA-processing-splicing factor 8
IPR042516	Pre-mRNA-processing-splicing factor 8, U5-snRNA-binding domain superfamily
IPR043172	Prp8 RNase domain IV, palm region
IPR043173	Prp8 RNase domain IV, fingers region
IPR001878	Zinc finger, CCHC-type
IPR039986	Cilia- and flagella- associated protein 210
IPR012164	DNA-directed RNA polymerase subunit/transcription factor S
IPR037275	Zinc finger, CTCHY-type superfamily
IPR006262	Cytidine deaminase, homotetrameric
IPR024738	Transcriptional coactivator Hfi1/Transcriptional adapter 1
IPR024875	Protein Lines
IPR029415	Protein Lines, C-terminal
IPR032476	Carnitine O-palmitoyltransferase, N-terminal
IPR044123	Translation initiation factor eIF-2B subunit epsilon, W2 domain
IPR024317	Dynein heavy chain, AAA module D4
IPR045602	MARF1, first and second LOTUS domain
IPR004882	Luc7-related
IPR001678	SAM-dependent methyltransferase RsmB/NOP2-type
IPR023267	RNA (C5-cytosine) methyltransferase
IPR029149	Creatinase/Aminopeptidase P/Spt16, N-terminal
IPR043313	Leucine-rich melanocyte differentiation-associated protein
IPR000770	SAND domain
IPR046885	tRNA-specific 2-thiouridylase MnmA-like, C-terminal domain
IPR043380	Germ cell-less protein-like
IPR008672	Spindle assembly checkpoint component Mad1
IPR043197	Plakin
IPR007379	Tim44-like domain
IPR044994	Tubulin-specific chaperone E
IPR038770	Sodium/solute symporter superfamily
IPR009145	U2 auxiliary factor small subunit
IPR004506	tRNA-specific 2-thiouridylase
IPR035952	Rhomboid-like superfamily
IPR019367	PDZ-binding protein, CRIPT
IPR045027	Homer family
IPR032150	Protein of unknown function DUF4820
IPR000445	Helix-hairpin-helix motif
IPR034237	FOX1, RNA recognition motif
IPR024887	Ashwin
IPR039542	Endoplasmic reticulum vesicle transporter, N-terminal
IPR005900	6-phosphogluconolactonase, DevB-type
IPR004198	Zinc finger, C5HC2-type
IPR004240	Nonaspanin (TM9SF)
IPR023210	NADP-dependent oxidoreductase domain
IPR007863	Peptidase M16, C-terminal
IPR042487	RuvBL1/2, DNA/RNA binding domain
IPR045842	Protein furry, C-terminal
IPR044441	Dicer, double-stranded RNA-binding domain
IPR047536	E3 ubiquitin-protein ligase parkin, Rcat domain
IPR041095	Elongation Factor G, domain II
IPR012936	Endoplasmic reticulum vesicle transporter, C-terminal
IPR028156	RPA-interacting protein
IPR028159	RPA-interacting protein, C-terminal domain
IPR016169	FAD-binding, type PCMH, subdomain 2
IPR000195	Rab-GAP-TBC domain
IPR007715	Ubiquinone biosynthesis protein Coq4
IPR018997	PUB domain
IPR017938	Riboflavin synthase-like beta-barrel
IPR047520	DNA repair endonuclease XPF, nuclease domain
IPR033468	Metaxin, glutathione S-transferase domain
IPR004600	TFIIH subunit Tfb4/GTF2H3
IPR037381	E3 ubiquitin-protein ligase RFWD3
IPR023282	Hydroxymethylglutaryl-CoA reductase, N-terminal
IPR007259	Gamma-tubulin complex component protein
IPR003146	Carboxypeptidase, activation peptide
IPR036990	Metallocarboxypeptidase-like, propeptide
IPR000938	CAP Gly-rich domain
IPR024945	Spt5 C-terminal domain
IPR003585	Neurexin/syndecan/glycophorin C
IPR039577	E3 ubiquitin-protein ligase Rad18
IPR019384	FHF complex subunit HOOK interacting protein
IPR007085	DNA/pantothenate metabolism flavoprotein, C-terminal
IPR035929	CoaB-like superfamily
IPR019495	Exosome complex component CSL4, C-terminal
IPR032226	TNRC6, PABC binding domain
IPR033544	Nuclear receptor subfamily 0 group B member 1/2
IPR007305	Vesicle transport protein, Got1/SFT2-like
IPR019313	Mediator complex, subunit Med17
IPR001731	Delta-aminolevulinic acid dehydratase
IPR002189	F-actin-capping protein subunit alpha
IPR003228	Transcription initiation factor TFIID subunit 12 domain
IPR004583	DNA repair protein Rad4
IPR004918	Cdc37
IPR005919	Higher eukaryotic phosphomevalonate kinase
IPR006982	Glutamate synthase, central-N
IPR008048	DNA replication licensing factor Mcm5
IPR008862	T-complex 11
IPR013855	Cdc37, N-terminal domain
IPR013873	Cdc37, C-terminal
IPR013874	Cdc37, Hsp90 binding
IPR016689	ESCRT-2 complex, Snf8
IPR017852	GPI ethanolamine phosphate transferase 1, C-terminal
IPR018328	Rad4 beta-hairpin domain 3
IPR018617	Ima1, N-terminal domain
IPR018784	Learning associated protein 18-like
IPR018999	RNA helicase UPF1, Cys/His rich zinc-binding domain
IPR019380	Casein kinase substrate, phosphoprotein PP28
IPR022233	TRAPP II complex TRAPPC10, C-terminal
IPR026091	BLOC-3 complex member HPS4
IPR029399	TMEM192 family
IPR032914	Vam6/VPS39/TRAP1 family
IPR037794	Transcription initiation factor TFIID subunit 12
IPR038189	Cdc37, Hsp90-binding domain superfamily
IPR039044	tRNA:m(4)X modification enzyme Trm13
IPR039682	Exocyst complex component Sec8/EXOC4
IPR039876	28kDa heat- and acid-stable phosphoprotein
IPR040041	Transmembrane protein 201
IPR040052	Splicing factor 45
IPR040416	Transmembrane protein 181
IPR040427	Fl(2)d-associated complex component
IPR042427	Zinc finger FYVE domain-containing protein 1
IPR042488	Rad4, beta-hairpin domain 3 superfamily
IPR042626	THO complex subunit 6
IPR045022	3-ketodihydrosphingosine reductase KDSR-like
IPR045190	Methylcrotonoyl-CoA carboxylase beta chain MCCB/AccD1-like
IPR003180	Methylpurine-DNA glycosylase
IPR012476	mRNA export factor GLE1-like
IPR038506	GLE1-like superfamily
IPR006029	Neurotransmitter-gated ion-channel transmembrane domain
IPR001273	Aromatic amino acid hydroxylase
IPR019774	Aromatic amino acid hydroxylase, C-terminal
IPR036329	Aromatic amino acid monoxygenase, C-terminal domain superfamily
IPR036951	Aromatic amino acid hydroxylase superfamily
IPR015351	RBP-J/Cbf11/Cbf12, DNA binding
IPR037095	RBP-J/Cbf11, DNA binding domain superfamily
IPR038007	RBP-Jkappa, IPT domain
IPR011343	Deoxyribose-phosphate aldolase
IPR003864	CSC1/OSCA1-like, 7TM region
IPR005706	Ribosomal protein S2, bacteria/mitochondria/plastid
IPR027815	CSC1/OSCA1-like, cytosolic domain
IPR032880	CSC1/OSCA1-like, N-terminal transmembrane domain
IPR017920	COMM domain
IPR007782	Vitamin K-dependent gamma-carboxylase
IPR011020	HTTM
IPR035563	Splicing factor 3A subunit 1, ubiquitin domain
IPR039757	Eukaryotic translation initiation factor 2D
IPR039759	Eukaryotic translation initiation factor 2D, SUI1 domain
IPR019166	MICOS complex subunit MIC26/MIC27
IPR018982	RQC domain
IPR045865	ACT-like domain
IPR007745	Cytochrome c oxidase copper chaperone
IPR004181	Zinc finger, MIZ-type
IPR040138	Mesoderm induction early response protein/metastasis-associated protein
IPR016642	26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunit
IPR007999	Protein of unknown function DUF745
IPR004367	Cyclin, C-terminal domain
IPR026610	3'-RNA ribose 2'-O-methyltransferase, Hen1
IPR024706	Peroxiredoxin, AhpC-type
IPR002738	RNase P subunit p30
IPR002906	Ribosomal protein S27a
IPR043519	Nucleotidyltransferase superfamily
IPR004361	Glyoxalase I
IPR014873	Voltage-dependent calcium channel, alpha-1 subunit, IQ domain
IPR045323	Coiled-coil domain-containing protein 34
IPR009143	Wnt-6 protein
IPR006667	SLC41A/MgtE, integral membrane domain
IPR036739	SLC41A/MgtE divalent cation transporters, integral membrane domain superfamily
IPR045349	SLC41A divalent cation transporter
IPR003673	CoA-transferase family III
IPR023606	CoA-transferase family III domain 1 superfamily
IPR006828	Association with the SNF1 complex (ASC) domain
IPR037256	ASC domain superfamily
IPR024779	2OGFeDO JBP1/TET, oxygenase domain
IPR040175	Methylcytosine dioxygenase TET1/2/3
IPR046942	Methylcytosine dioxygenase TET1-3, oxygenase domain
IPR023208	NADPH-cytochrome P450 reductase
IPR015257	Repressor of RNA polymerase III transcription Maf1
IPR038564	Repressor of RNA polymerase III transcription Maf1 superfamily
IPR045891	Zinc transporter ZIP9
IPR040260	Replication factor A protein-like
IPR036418	Cytochrome c oxidase, subunit VIa superfamily
IPR027546	Sirtuin, class III
IPR005155	UPF0113, PUA domain
IPR002335	Myoglobin
IPR040394	F-box only protein 25/32
